Id,Chinese,Roman,English,Type
02NT03NO,老闆正在責備員工。,lou5 baan2 zing3 zoi6 zaak3 bei6 jyun4 gung1.,The boss is blaming the worker.,
APEJ5RE4,我要搵經理。,ngo5 jiu3 wan2 ging1 lei5.,I'm looking for the manager.,
J8OB0RRL,,,##Grammar,
EOGMW1PT,你識呢度嘅老闆。,nei5 sik1 ni1 dou6 ge3 lou5 baan2.,You know the boss here.,
VQZYW6PK,你識唔識呢度嘅老闆啊？,nei5 sik1 m4 sik1 ni1 dou6 ge3 lou5 baan2 aa3?,Do you know the boss here?,
LXR8FY2Q,乜你識呢度嘅老闆咩？,mat1 nei5 sik1 ni1 dou6 ge3 lou5 baan2 me1?,You know the boss here？Really?,
21M68KJ0,,,#Upper Beginner Lesson 3,
2J8AL72S,,,##Dialog,
J1EUNJ6D,老師今日有冇點名？,lou5 si1 gam1 jat6 jau5 mou5 dim2 meng2 ?,Did the teacher call the roll today?,
L2Q44INZ,冇，點解你唔嚟上堂？,"mou5, dim2 gaai2 nei5 m4 lei4 soeng5 tong4 ?",No. Why didn't you come to the class?,
N6ZATU91,"好彩, 我尋晚飲大咗。",hou2 coi2. ngo5 cam4 maan5 jam2 daai6 zo2.,Lucky me. I was out drinking last night.,
XE18W8SU,但係老師知道你冇嚟上堂。,daan6 hai6 lou5 si1 zi1 dou3 nei5 mou5 lei4 soeng5 tong4.,But the teacher knows you didn't come.,
ZE3FP3F1,啊？佢點知㗎？,aa2 ? keoi5 dim2 zi1 gaa3 ?,What? How did she know?,
YOX3WK5P,我講嘅。,ngo5 gong2 ge3.,I told her.,
2U8T8GM0,,,##Vocabulary,
ZIKDM9EM,缺席,kyut3 zik6,to be absent,verb
YQPAJJ5J,上堂,soeng5 tong4,to have class,verb
J8HN4J3N,飲大咗,jam2 daai6 zo2,to have drunk a lot,verb phrase
0Y9DN493,宿醉,suk1 zeoi3,to have a hangover,verb
8L2M9JLV,老師,lou5 si1,teacher,noun
2MIPJ7FC,教務主任,gaau3 mou6 zyu2 jam6,administrative director at school,noun
KPHILO6N,遲到,ci4 dou3,to be late,verb
25XCLM30,校長,haau6 zoeng2,principal,noun
3BBJUFCH,點名,dim2 meng2,to call the roll,verb
CPITLMDS,,,##Sample Sentences,
YU6Z2RPA,上個學期佢缺席咗十五日。,soeng6 go3 hok6 kei4 keoi5 kyut3 zik6 zo2 sap6 ng5 jat6.,He was absent fifteen days last semester.,
MXRDK84X,我要上堂。,ngo5 jiu3 soeng5 tong4.,I have to go to school.,
BLMY4I51,佢同佢朋友飲大咗。,keoi5 tung4 keoi5 pang4 jau5 jam2 daai6 zo2.,He got really drunk with his friends.,
HHE684H8,佢宿醉因為佢飲得太多。,keoi5 suk1 zeoi3 jan1 wai4 keoi5 jam2 dak1 taai3 do1.,He drank too much and got a hangover.,
RP1BZ6UE,佢哋係老師。,keoi5 dei6 hai6 lou5 si1.,They're teachers.,
HCDN5RPL,每間學校都有幾位教務主任。,mui5 gaan1 hok6 haau6 dou1 jau5 gei2 wai2 gaau3 mou6 zyu2 jam6.,The school has several administrators.,
WOK4FF6D,你又遲到。,nei5 jau6 ci4 dou3.,You're late again.,
FR10IHJ4,每間學校都有一位校長。,mui5 gaan1 hok6 haau6 dou1 jau5 jat1 wai2 haau6 zoeng2.,Every school has a single principal.,
I7KRKXUJ,老師點咗名。,lou5 si1 dim2 zo2 meng2.,The teacher held roll call.,
9SAQDXG1,,,##Grammar,
6A48S3G9,你點嚟?,nei5 dim2 lei4?,How do you come?,
FK52MN4O,你點用?,nei5 dim2 jung6?,"How do you use?
e that when we use these questions in longer sentences, our question phrase comes at the end
落咁大雨，你點嚟？	lok6 gam3 daai6 jyu5, nei5 dim2 lei4?	It's raining so hard. How did you c
部機器點用？	bou6 gei1 hei3 dim2 jung6?	This piece of machinery, how do you use it?
廣東話呢個點講？	gwong2 dung1 waa2 ni1 go3 dim2 gong2?	In Cantonese, how do you say this?",
X5KSDH8A,落咁大雨，你點嚟？,"lok6 gam3 daai6 jyu5, nei5 dim2 lei4?",It's raining so hard. How did you come?,
B0DETC2T,部機器點用？,bou6 gei1 hei3 dim2 jung6?,"This piece of machinery, how do you use it?",
LM2PXUEL,廣東話呢個點講？,gwong2 dung1 waa2 ni1 go3 dim2 gong2?,"In Cantonese, how do you say this?",
XSZELWK5,,,#Upper Beginner Lesson 4,
GAGJYX09,,,##Dialog,
EJE21DWO,你好，有咩可以幫到你？,"nei5 hou2, jau5 me1 ho2 ji5 bong1 dou2 nei5 ?","Hello, how can I help you?",
NUJWPU8X,我張銀行卡壞咗。,ngo5 zoeng1 ngan4 hong4 kaat1 waai6 zo2.,My debit card is not working.,
GPSYERKB,請你輸入密碼我幫你檢查下,cing2 nei5 syu1 jap6 mat6 maa5 ngo5 bong1 nei5 gim2 caa4 haa5.,Please input the password and I'll look into it for you.,
WVVJULPW,我唔記得咗個密碼。,ngo5 m4 gei3 dak1 zo2 go3 mat6 maa5.,I forgot the password.,
MZ23LEEM,咁你需要重新修改密碼。,gam2 nei5 seoi1 jiu3 cung4 san1 sau1 goi2 mat6 maa5.,You need to set a new password.,
JI0PSVA2,咁改成九九九啦。,gam2 goi2 sing4 gau2 gau2 gau2 laa1.,Then change it to 999.,
